College_ID,College_Name,College_Type,Estd_Year,Division,District,Location_City,Address,Affiliating_University,Key_Degrees_Offered,Website,Contact_Info,Review_Score_5,Review_Summary,Estimated_Annual_Fee_INR
K-MED-04,"Government Medical College, Baramulla",Medical,2019,Kashmir,Baramulla,Baramulla,"Kanthbagh, Baramulla",University of Kashmir,MBBS,N/A,N/A,N/A,N/A,N/A
K-MED-05,"Government Medical College, Handwara",Medical,2023,Kashmir,Kupwara,Handwara,"Handwara, Kupwara",University of Kashmir,MBBS,gmchandwara.co.in,N/A,N/A,N/A,N/A
K-POLY-01,"K.G. Polytechnic, Srinagar",Polytechnic,N/A,Kashmir,Srinagar,Srinagar,"Gogji Bagh, Srinagar",J&K Board of Technical Education,Diploma in Engg.,www.kgpolytechnic.org,0194-2310144,N/A,N/A,N/A
K-POLY-02,"Govt. Polytechnic for Women, Srinagar",Polytechnic,N/A,Kashmir,Srinagar,Srinagar,"Bemina, Srinagar",J&K Board of Technical Education,Diploma in Engg.,N/A,0194-2491176,N/A,N/A,N/A
K-POLY-03,"Govt. Polytechnic College, Anantnag",Polytechnic,N/A,Kashmir,Anantnag,Anantnag,N/A,J&K Board of Technical Education,Diploma in Engg.,govtpolyanantnag.org,N/A,N/A,N/A,N/A
K-POLY-04,"Govt. Polytechnic College, Kulgam",Polytechnic,2012,Kashmir,Kulgam,Kulgam,N/A,J&K Board of Technical Education,Diploma in Engg.,www.gpckulgam.edu.in,N/A,N/A,N/A,N/A
K-POLY-05,"Govt. Polytechnic College, Shopian",Polytechnic,2012,Kashmir,Shopian,Shopian,"Chanchwad Baskuchan, Shopian, 192303",J&K Board of Technical Education,Diploma in Engg.,www.gpcshopian.in,01933-260611,N/A,N/A,N/A
K-POLY-06,"Govt. Polytechnic College, Baramulla",Polytechnic,N/A,Kashmir,Baramulla,Baramulla,N/A,J&K Board of Technical Education,Diploma in Engg.,N/A,N/A,N/A,N/A,N/A
K-POLY-07,"Govt. Polytechnic College, Bandipora",Polytechnic,N/A,Kashmir,Bandipora,Bandipora,N/A,J&K Board of Technical Education,Diploma in Engg.,N/A,N/A,N/A,N/A,N/A
K-POLY-08,"Govt. Polytechnic College, Budgam",Polytechnic,N/A,Kashmir,Budgam,Budgam,"Nagam, Budgam",J&K Board of Technical Education,Diploma in Engg.,N/A,N/A,3.8,N/A,N/A
K-POLY-09,"Govt. Polytechnic College, Kupwara",Polytechnic,N/A,Kashmir,Kupwara,Kupwara,N/A,J&K Board of Technical Education,Diploma in Engg.,N/A,N/A,N/A,"6,690",4
K-POLY-10,"Govt. Polytechnic College, Ganderbal",Polytechnic,N/A,Kashmir,Ganderbal,Ganderbal,N/A,J&K Board of Technical Education,Diploma in Engg.,N/A,N/A,N/A,N/A,N/A
K-GDC-40,"Govt. Hassan Khoihami Memorial Degree College, Bandipora",Degree College,2005,Kashmir,Bandipora,Bandipora,"Patushay, Bandipora, 193502",University of Kashmir,"BA, BSc, BCom, BCA",gdcbandipora.edu.in,principal@gdcbandipora.edu.in,N/A,N/A,N/A
K-ENGG-01,"National Institute of Technology (NIT), Srinagar",Engineering,1960,Kashmir,Srinagar,Srinagar,"Hazratbal, Srinagar, 190006",Institute of National Importance,"B.Tech, M.Tech, M.Sc, PhD",www.nitsri.ac.in,0194-2422032,3.8,"Beautiful campus and good faculty, but placements are inconsistent and depend on the region's stability.","1,65,000"
K-ENGG-02,Islamic University of Science and Technology (IUST),Engineering,2005,Kashmir,Pulwama,Awantipora,"Awantipora, Pulwama",State University,"B.Tech, M.Tech, MBA",www.iust.ac.in,N/A,3.6,"Praised for a modern, industry-relevant curriculum and structured environment.","11,980 - 3,10,000"
